id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.02,0.05,78
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04,45
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.07,60
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.03,40
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,0.10,82
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.94,0.03,35
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,0.04,48
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.60,0.04,55
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03,50
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.10,0.05,65
11,Velvet Sunset,Neon Echo,synthwave,moody,0.68,108,0.52,0.70,0.20,0.55,0.04,52
12,Paper Boats,Paper Lanterns,lofi,relaxed,0.33,74,0.63,0.55,0.83,0.87,0.03,42
13,Circuit Breaker,Voltline,rock,intense,0.88,146,0.44,0.68,0.08,0.05,0.08,58
14,Morning Commute,LoRoom,lofi,focused,0.44,82,0.57,0.61,0.75,0.86,0.03,47
15,Golden Hour,Indigo Parade,indie pop,happy,0.72,120,0.79,0.80,0.38,0.09,0.05,63
16,Deep Space Drift,Orbit Bloom,ambient,chill,0.24,58,0.61,0.38,0.94,0.95,0.02,33
17,Last Call,Slow Stereo,jazz,relaxed,0.41,96,0.68,0.57,0.85,0.68,0.04,46
18,Power Set,Max Pulse,pop,intense,0.95,136,0.75,0.90,0.04,0.02,0.11,85
19,Neon Rainfall,Neon Echo,synthwave,moody,0.71,112,0.47,0.72,0.19,0.58,0.04,54
20,Beach Confetti,Sunbeam Radio,pop,happy,0.80,126,0.86,0.84,0.15,0.03,0.06,80
